trial_num,radio_value,word_selected,tone_selected,scale_value,word_list,sound,stimuli_length,stimuli_tone,stimuli_gl,answer,trial_sequence
0,1,铁,5,3,铁-读-退-体-替-踢-听,https://yuanucsd.github.io/dissertation_sound/exp1/practice/19A/vowel_long_after_window_r1.wav,long,r1,modal,NA,1
1,6,寺,23,2,四-时-湿-死-诗-寺-实,https://yuanucsd.github.io/dissertation_sound/exp1/test/vowel_long_after_window_2.wav,long,2,modal,NA,1
2,1,湿,5,1,湿-实-死-寺-四-时-诗,https://yuanucsd.github.io/dissertation_sound/exp1/test/vowel_long_after_window_2.wav,long,2,modal,NA,1
3,6,湿,5,1,寺-诗-时-实-死-湿-四,https://yuanucsd.github.io/dissertation_sound/exp1/test/vowel_long_after_window_2.wav,long,2,modal,NA,1
4,2,歌谱,44,5,局长-歌谱,https://yuanucsd.github.io/dissertation_sound/exp2/practice/19B_05_F.wav,NA,,NA,歌谱,1
5,2,多谢,44,5,路上-多谢,https://yuanucsd.github.io/dissertation_sound/exp2/test/01_F/3A.wav,NA,23,NA,路上,1
6,1,多谢,44,5,多谢-路上,https://yuanucsd.github.io/dissertation_sound/exp2/test/03_F/4A.wav,NA,23,NA,多谢,1
7,1,多谢,44,5,多谢-路上,https://yuanucsd.github.io/dissertation_sound/exp2/test/05_F/3A.wav,NA,23,NA,路上,1
8,2,多谢,44,5,路上-多谢,https://yuanucsd.github.io/dissertation_sound/exp2/test/09_F/3A.wav,NA,23,NA,路上,1

id,userAgent
001,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36